0,1
什么是公开招标和邀请招标？,根据《招标投标法》第十条，公开招标是指招标人以招标公告的方式邀请不特定的法人或者其他组织投标。邀请招标是指招标人以投标邀请书的方式邀请特定的法人或者其他组织投标。
《招标投标法》规定的招标投标活动必须遵循的原则是什么？,根据《招标投标法》第五条规定，招标投标活动应当遵循公开、公平、公正和诚实信用的原则。
《招标投标法》的适用范围是什么？,根据《招标投标法》第二条规定，在中华人民共和国境内进行的招标投标活动，适用本法。
什么是必须进行招标的工程项目？,根据《招标投标法》第三条，在中华人民共和国境内进行下列工程建设项目，包括项目的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料等的采购，必须进行招标：（一）大型基础设施、公用事业等关系社会公共利益、公众安全的项目；（二）全部或者部分使用国有资金投资或者国家融资的项目；（三）使用国际组织或者外国政府贷款、援助资金的项目。
必须招标项目的具体范围和规模标准由谁制定？,由国务院发展计划部门（现为国家发展和改革委员会）会同国务院有关部门制订，报国务院批准。（依据《招标投标法》第三条第二款）
哪些行为属于规避招标？,根据《招标投标法》第四条，任何单位和个人不得将依法必须进行招标的项目化整为零或者以其他任何方式规避招标。
依法必须招标的项目，自招标文件开始发出之日起至投标人提交投标文件截止之日止，最短不得少于多少日？,根据《招标投标法》第二十四条规定，最短不得少于二十日。
招标文件发出后，招标人若需对内容进行澄清或修改，应提前多久通知所有招标文件收受人？,根据《招标投标法》第二十三条规定，应当在招标文件要求提交投标文件截止时间至少十五日前，以书面形式通知所有招标文件收受人。
开标应该在何时何地进行？,根据《招标投标法》第三十四条规定，开标应当在招标文件确定的提交投标文件截止时间的同一时间公开进行；开标地点应当为招标文件中预先确定的地点。
开标由谁主持？,根据《招标投标法》第三十五条规定，开标由招标人主持，邀请所有投标人参加。
评标委员会的成员是如何产生的？,根据《招标投标法》第三十七条，评标委员会由招标人依法组建，其专家成员应当从事相关领域工作满八年并具有高级职称或者具有同等专业水平，由招标人从国务院有关部门或者省、自治区、直辖市人民政府有关部门提供的专家名册或者招标代理机构的专家库内的相关专业的专家名单中确定。
依法必须招标项目的评标委员会成员人数有何要求？,根据《招标投标法》第三十七条，成员人数为五人以上单数，其中技术、经济等方面的专家不得少于成员总数的三分之二。
中标通知书发出后，招标人改变中标结果，应承担什么责任？,根据《招标投标法》第四十五条，中标通知书对招标人和中标人具有法律效力。中标通知书发出后，招标人改变中标结果的，应当依法承担法律责任。
招标人和中标人应何时签订书面合同？,根据《招标投标法》第四十六条规定，招标人和中标人应当自中标通知书发出之日起三十日内，按照招标文件和中标人的投标文件订立书面合同。
《招标投标法实施条例》是何时施行的？,根据《招标投标法实施条例》第八十四条规定，自2012年2月1日起施行。
《招标投标法实施条例》所称工程建设项目，包括哪些内容？,根据《招标投标法实施条例》第二条规定，是指工程以及与工程建设有关的货物、服务。工程是指建设工程；货物是指构成工程不可分割的组成部分的设备、材料等；服务是指为完成工程所需的勘察、设计、监理等服务。
国有资金占控股或者主导地位的依法必须招标的项目，何种情形下可以邀请招标？,根据《招标投标法实施条例》第八条规定：（一）技术复杂、有特殊要求或者受自然环境限制，只有少量潜在投标人可供选择；（二）采用公开招标方式的费用占项目合同金额的比例过大。
除法定不招标情形外，《招标投标法实施条例》规定了哪些可以不招标的情形？,根据《招标投标法实施条例》第九条规定：（一）需要采用不可替代的专利或者专有技术；（二）采购人依法能够自行建设、生产或者提供；（三）已通过招标方式选定的特许经营项目投资人依法能够自行建设、生产或者提供；（四）需要向原中标人采购工程、货物或者服务，否则将影响施工或者功能配套要求；（五）国家规定的其他特殊情形。
《招标投标法实施条例》规定，哪些情形属于招标人以不合理条件限制、排斥潜在投标人？,根据《招标投标法实施条例》第三十二条，包括但不限于：设定与项目特点和实际需要不相适应的资格、技术、商务条件；以特定行政区域或行业的业绩、奖项作为加分或中标条件；限定或指定特定的专利、商标、品牌、供应商等。
投标保证金的上限是多少？,根据《招标投标法实施条例》第二十六条规定，投标保证金不得超过招标项目估算价的2%。
依法必须进行招标的项目的资格预审公告和招标公告，应当在什么媒介发布？,根据《招标投标法实施条例》第十五条规定，应当在国务院发展改革部门依法指定的媒介发布。
资格预审文件或者招标文件的发售期最短不得少于几日？,根据《招标投标法实施条例》第十六条规定，不得少于5日。
潜在投标人对招标文件有异议，应当在何时提出？,根据《招标投标法实施条例》第二十二条规定，应当在投标截止时间10日前提出。
招标人对已发出的招标文件进行澄清或修改，可能影响投标文件编制的，至少应在何时通知所有潜在投标人？,根据《招标投标法实施条例》第二十一条规定，应当在投标截止时间至少15日前，以书面形式通知所有获取招标文件的潜在投标人。
招标人设有最高投标限价的，应当在何时明确？,根据《招标投标法实施条例》第二十七条规定，应当在招标文件中明确最高投标限价或者最高投标限价的计算方法。同时，招标人不得规定最低投标限价。
什么是“暂估价”？暂估价达到什么标准需要招标？,根据《招标投标法实施条例》第二十九条规定，暂估价是指总承包招标时不能确定价格而由招标人在招标文件中暂时估定的工程、货物、服务的金额。以暂估价形式包括在总承包范围内的工程、货物、服务属于依法必须进行招标的项目范围且达到国家规定规模标准的，应当依法进行招标。
招标人终止招标的，应当如何处理已发售的文件和收取的保证金？,根据《招标投标法实施条例》第三十一条规定，应当及时发布公告或书面通知，并及时退还所收取的资格预审文件、招标文件的费用，以及所收取的投标保证金及银行同期存款利息。
与招标人存在利害关系的单位或个人能否投标？,根据《招标投标法实施条例》第三十四条规定，与招标人存在利害关系可能影响招标公正性的法人、其他组织或者个人，不得参加投标。单位负责人为同一人或者存在控股、管理关系的不同单位，不得参加同一标段投标。违反规定的，相关投标均无效。
哪些情形“视为”投标人相互串通投标？,根据《招标投标法实施条例》第四十条规定，包括：不同投标人的投标文件由同一单位或个人编制；委托同一单位或个人办理投标事宜；投标文件载明的项目管理成员为同一人；投标文件异常一致或报价呈规律性差异；投标文件相互混装；投标保证金从同一单位或个人的账户转出。
哪些情形属于招标人与投标人串通投标？,根据《招标投标法实施条例》第四十一条规定，包括：开标前开启投标文件并将信息泄露给其他投标人；泄露标底、评标委员会成员信息；明示或暗示投标人压低或抬高报价；授意投标人撤换、修改投标文件等。
什么是“以他人名义投标”？,根据《招标投标法实施条例》第四十二条规定，使用通过受让或者租借等方式获取的资格、资质证书投标的，属于以他人名义投标。
开标时，投标人少于3个的，应如何处理？,根据《招标投标法实施条例》第四十四条规定，投标人少于3个的，不得开标；招标人应当重新招标。
评标委员会的专家成员应如何确定？,根据《招标投标法实施条例》第四十六条规定，除特殊招标项目外，应从评标专家库内相关专业的专家名单中以随机抽取方式确定。任何单位和个人不得以任何方式指定或变相指定。
哪些情形下，评标委员会应当否决其投标？,根据《招标投标法实施条例》第五十一条规定，包括：投标文件未经投标单位盖章和单位负责人签字；投标联合体没有提交共同投标协议；投标人不符合国家或者招标文件规定的资格条件；投标报价低于成本或者高于招标文件设定的最高投标限价；投标文件没有对招标文件的实质性要求和条件作出响应；投标人有串通投标、弄虚作假、行贿等违法行为。
依法必须招标的项目，招标人应何时公示中标候选人？公示期多久？,根据《招标投标法实施条例》第五十四条规定，应当自收到评标报告之日起3日内公示中标候选人，公示期不得少于3日。
投标人对评标结果有异议，应在何时提出？,根据《招标投标法实施条例》第五十四条规定，应当在中标候选人公示期间提出。
国有资金占控股或者主导地位的依法必须招标的项目，应如何确定中标人？,根据《招标投标法实施条例》第五十五条规定，招标人应当确定排名第一的中标候选人为中标人。排名第一的候选人因故不符合中标条件的，可依次确定其他候选人，也可重新招标。
履约保证金的上限是多少？,根据《招标投标法实施条例》第五十八条规定，履约保证金不得超过中标合同金额的10%。
招标文件要求中标人提交履约保证金的，招标人是否也应提供担保？,根据《招标投标法实施条例》未直接规定，但《工程建设项目施工招标投标办法》第六十二条等规章明确，招标人要求中标人提交履约保证金或其他形式履约担保的，招标人应当同时向中标人提供工程款支付担保。
投标人认为招标投标活动不符合规定，应向谁投诉？时限是多久？,根据《招标投标法实施条例》第六十条规定，可以自知道或者应当知道之日起10日内向有关行政监督部门投诉。就特定事项（如对招标文件、开标、评标结果的异议）投诉的，应当先向招标人提出异议。
必须招标的工程项目具体范围与规模标准，主要依据哪个规定？,主要依据国家发展和改革委员会发布的《必须招标的工程项目规定》（发改委令第16号）。
《必须招标的工程项目规定》中，施工单项合同估算价达到多少必须招标？,根据该规定第五条，施工单项合同估算价在400万元人民币以上必须招标。
同一项目中可以合并进行的多项采购，如何判断是否必须招标？,根据《必须招标的工程项目规定》第五条，同一项目中可以合并进行的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料等的采购，合同估算价合计达到规定标准的，必须招标。
《必须招标的基础设施和公用事业项目范围规定》明确了哪些领域的项目必须招标？,根据该规定第二条，包括能源基础设施、交通运输基础设施、通信基础设施、水利基础设施、城市轨道交通等城建项目。
国家发展改革委对必须招标的规定进一步解释时，如何理解“占控股或者主导地位”？,根据《国家发展改革委办公厅关于进一步做好<必须招标的工程项目规定>和<必须招标的基础设施和公用事业项目范围规定>实施工作的通知》（发改办法规〔2020〕770号），参照《公司法》关于控股股东和实际控制人的理解执行，即出资额或股份占50%以上，或虽不足50%但足以对决议产生重大影响的，即占控股或主导地位。
评标活动的主要依据是什么规章？,是《评标委员会和评标方法暂行规定》（原国家计委等七部委令第12号，2013年修订）。
评标方法主要有哪些？,根据《评标委员会和评标方法暂行规定》第二十九条，评标方法包括经评审的最低投标价法、综合评估法或者法律、行政法规允许的其他评标方法。
哪些情形属于投标文件中的“重大偏差”？,根据《评标委员会和评标方法暂行规定》第二十五条，包括没有按要求提供投标担保、无签字盖章、完成期限超期、不符合技术规格、附有招标人不能接受的条件等。
评标委员会完成评标后，应向招标人提交什么文件？,根据《评标委员会和评标方法暂行规定》第四十二条，应当向招标人提出书面评标报告。
评标委员会推荐的中标候选人人数有何限制？,根据《评标委员会和评标方法暂行规定》第四十五条，应当限定在一至三人，并标明排列顺序。
《电子招标投标办法》是什么时候施行的？,根据《电子招标投标办法》第六十六条，自2013年5月1日起施行。
电子招标投标系统根据功能分为哪几个平台？,根据《电子招标投标办法》第三条，分为交易平台、公共服务平台和行政监督平台。
电子招标投标活动产生的数据电文是否具有法律效力？,根据《电子招标投标办法》第二条，数据电文形式与纸质形式的招标投标活动具有同等法律效力。
依法必须招标项目的招标公告和公示信息，应当在哪个平台发布？,根据《招标公告和公示信息发布管理办法》第八条，应当在“中国招标投标公共服务平台”或者项目所在地省级电子招标投标公共服务平台发布。
工程建设项目施工招标投标的主要依据是什么规章？,是《工程建设项目施工招标投标办法》（原国家计委等七部委令第30号，2013年修订）。
工程施工招标，投标保证金不得超过多少？,根据《工程建设项目施工招标投标办法》第三十七条，投标保证金不得超过项目估算价的百分之二，但最高不得超过八十万元人民币。
工程货物招标投标的主要依据是什么规章？,是《工程建设项目货物招标投标办法》（发改委等七部委令第27号，2013年修订）。
工程勘察设计招标投标的主要依据是什么规章？,是《工程建设项目勘察设计招标投标办法》（发改委等八部委令第2号，2013年修订）。
对技术复杂或无法精确拟定技术规格的项目，可以采用什么招标方式？,根据《招标投标法实施条例》第三十条规定，可以分两阶段进行招标。
招标人对招标项目划分标段有哪些限制？,根据《招标投标法实施条例》第二十四条规定，不得利用划分标段限制或者排斥潜在投标人，不得利用划分标段规避招标。
《政府采购法》是什么时候修正的？,根据文档记载，是2014年8月31日修正。
政府采购的原则是什么？,根据《政府采购法》第三条，政府采购应当遵循公开透明原则、公平竞争原则、公正原则和诚实信用原则。
政府采购有哪几种采购方式？,根据《政府采购法》第二十六条，包括：公开招标、邀请招标、竞争性谈判、单一来源采购、询价以及国务院政府采购监督管理部门认定的其他采购方式。公开招标应作为主要采购方式。
《政府采购法实施条例》是何时施行的？,根据文档记载，是2015年1月30日发布。
《政府采购法实施条例》如何界定“财政性资金”？,根据《政府采购法实施条例》第二条，是指纳入预算管理的资金。以财政性资金作为还款来源的借贷资金，视同财政性资金。
政府采购工程以及与工程建设有关的货物、服务，如何适用法律？,根据《政府采购法实施条例》第七条，使用招标方式采购的，适用《招标投标法》及其实施条例；采用其他方式采购的，适用《政府采购法》及本条例。
政府采购货物和服务招标投标的主要依据是什么规章？,是《政府采购货物和服务招标投标管理办法》（财政部令第87号）。
政府采购中，何种情形下采购人可以自行选定评审专家？,根据《政府采购货物和服务招标投标管理办法》第四十八条，对技术复杂、专业性强的采购项目，通过随机方式难以确定合适评审专家的，经主管预算单位同意，采购人可以自行选定相应专业领域的评审专家。
政府采购质疑和投诉的主要依据是什么规章？,是《政府采购质疑和投诉办法》（财政部令第94号）。
供应商认为采购文件、采购过程、中标或成交结果使自己的权益受到损害，应在何时提出质疑？,根据《政府采购质疑和投诉办法》第十条，供应商认为采购文件、采购过程、中标或者成交结果使自己的权益受到损害的，可以在知道或者应知其权益受到损害之日起7个工作日内，以书面形式向采购人、采购代理机构提出质疑。
什么是政府采购中的竞争性磋商采购方式？其依据是什么？,竞争性磋商是政府采购的一种方式，主要依据是《政府采购竞争性磋商采购方式管理暂行办法》（财库〔2014〕214号）。
什么是政府采购框架协议采购方式？其依据是什么？,框架协议采购是政府采购的一种方式，主要依据是《政府采购框架协议采购方式管理暂行办法》（财政部令第110号）。
《政府采购需求管理办法》的主要作用是什么？,根据《政府采购需求管理办法》（财库〔2021〕22号）第一条，是为了加强政府采购需求管理，实现政府采购项目绩效目标。
政府采购中如何促进中小企业发展？,主要依据是《政府采购促进中小企业发展管理办法》（财库〔2020〕46号），通过预留采购份额、价格评审优惠等措施支持中小企业。
政府采购信息公开的主要依据是什么？,是《政府采购信息发布管理办法》（财政部令第101号）。
政府采购评审专家管理的主要依据是什么？,是《政府采购评审专家管理办法》（财库〔2016〕198号）。
政府采购的“进口产品”采购如何进行管理？,主要依据是《政府采购进口产品管理办法》（财库〔2007〕119号）。
在什么情况下政府采购项目可以采用单一来源方式采购？,根据《政府采购法》第三十一条，包括：只能从唯一供应商处采购的；发生了不可预见的紧急情况不能从其他供应商处采购的；必须保证原有采购项目一致性或者服务配套的要求，需要继续从原供应商处添购，且添购资金总额不超过原合同采购金额百分之十的。
政府购买服务的管理办法是什么？,是《政府购买服务管理办法》（财政部令第102号）。
集中采购机构的职能是什么？,根据《政府采购法》第十六条，集中采购机构是非营利事业法人，根据采购人的委托办理采购事宜。
依法必须招标而不招标的，应如何处罚？,根据《招标投标法》第四十九条，责令限期改正，可处项目合同金额千分之五以上千分之十以下的罚款；对全部或部分使用国有资金的项目，可暂停项目执行或资金拨付；对单位直接负责的主管人员和其他直接责任人员依法给予处分。
招标代理机构泄露与招标投标活动有关保密情况和资料的，应如何处罚？,根据《招标投标法》第五十条，处五万元以上二十五万元以下罚款；对单位直接负责的主管人员和其他直接责任人员处单位罚款数额百分之五以上百分之十以下罚款；有违法所得的，并处没收违法所得；情节严重的，暂停直至取消招标代理资格。
