茂名市康祥盛手套有限公司的法定代表人是谁？,林玉武
广东同磊建设有限公司的注册资本是多少？,600万人民币
广东发禄建筑工程有限公司属于哪个行业分类？,建筑装饰、装修和其他建筑业
茂名市致达二手车有限公司的成立日期是哪天？,2023/6/1
茂名市坚坚电船科技有限公司的经营范围包含什么？,一般项目：科技中介服务；新能源原动设备制造；娱乐船和运动船制造；娱乐船和运动船销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；电池零配件生产；电池零配件销售；汽车零部件及配件制造；新能源原动设备销售；新能源汽车电附件销售；资源再生利用技术研发；新能源汽车生产测试设备销售；电池销售；新能源汽车废旧动力蓄电池回收及梯次利用（不含危险废物经营）；电动自行车销售；电动自行车维修；租赁服务（不含许可类租赁服务）；船舶租赁；新能源汽车整车销售；新能源汽车换电设施销售；电机制造；电池制造；电动机制造；游艇租赁。许可项目：道路机动车辆生产；船舶制造。
广东骏隆生物科技有限公司的注册地址在哪里？,茂名高新技术产业开发区七迳镇木等村委会龙古埇68号Z013号
茂名滨海新区宝诗莱俱乐部有限公司的经营状态是什么？,存续
广东实华博润科技有限公司的统一社会信用代码是多少？,91440900MACKBE9E7D
茂名滨海新区博贺镇启之博文化传播有限公司的联系电话是多少？,文档中未找到该公司的联系电话信息。
茂名大参林连锁药店有限公司电城下海分店的负责人是谁？,廖雪香
茂名市客面天下食品有限公司的主营项目有哪些？,食品销售（仅销售预包装食品），互联网销售（除销售需要许可的商品）。
广东星巴克咖啡有限公司茂名化州万达广场分店的成立日期？,2023/6/2
广东渔稻蔬鲜食品科技有限公司的法定代表人是谁？,邓立军
国科制药（广东）有限公司的注册资本是多少？,500万人民币
广东新华粤树脂科技有限公司树脂分公司的类型是什么？,有限责任公司分公司（非自然人投资或控股的法人独资）
百胜餐饮（广东）有限公司茂名肯德基化州万达广场餐厅的经营期限？,2023-06-02 至 2026-06-01
茂名市古音遗艺文化有限公司的经营范围包含非物质文化遗产保护吗？,是，包含。
茂名市新承亿建材有限公司的注册地是哪里？,茂名市电白区电城镇庄垌村委会东坡林场工业园3号
茂名市达丰水产养殖有限公司的许可经营项目有哪些？,水产养殖；水产苗种生产。
广东哲轩机电设备有限公司的法定代表人是谁？,严惠芬
茂名高新技术产业开发区鱼多多水族馆的注册资本是多少？,5万人民币
广东万宁连锁商业有限公司茂名潘州广场分店的行业分类？,娱乐业
茂名纬图物业管理有限公司的股东是谁？,文档中未找到该公司的股东信息。
广东嘉乐园食品有限公司的成立日期？,2023/6/19
茂名市英鼎斯贸易有限公司的经营范围包含化妆品生产吗？,是，包含化妆品生产（许可项目）。
茂名市粤双诚汽车服务有限公司的法定代表人是谁？,杨景平
广东智莱智能医疗科技有限公司的注册资本是多少？,1000万人民币
茂名市强爽电子商务有限公司的注册地址？,茂名市电白区电城镇庄山大道北门头杨伟俊楼房6楼601房
茂名越隆人力资源有限公司的经营范围？,一般项目：人力资源服务（不含职业中介活动、劳务派遣服务）；劳务服务（不含劳务派遣）；信息咨询服务（不含许可类信息咨询服务）；家政服务；企业管理咨询；安全咨询服务；咨询策划服务；会议及展览服务；信息技术咨询服务；项目策划与公关服务；商务代理代办服务；体验式拓展活动及策划；文化用品设备出租；承接档案服务外包；婚姻介绍服务；婚庆礼仪服务；招生辅助服务；教育咨询服务（不含涉许可审批的教育培训活动）；专业保洁、清洗、消毒服务；个人商务服务；国内货物运输代理；销售代理；单位后勤管理服务；特种作业人员安全技术培训；装卸搬运；普通货物仓储服务（不含危险化学品等需许可审批的项目）；道路货物运输站经营。
茂名鑫之达物业管理有限公司的法定代表人是谁？,杨艺生
广东提亚生物科技有限公司的注册资本是多少？,3000万人民币
广东伊欧科技有限公司的注册地址？,茂名高新区高新大道308号丰能高新科技园2号楼5楼
茂名市博览渔需物资有限公司的行业分类？,农、林、牧、渔专业及辅助性活动
茂名携农信息有限公司的法定代表人是谁？,谢婷婷
江门金拱门食品有限公司高州潘州广场分店的成立日期？,2023/6/14
茂名鑫诚新材料有限公司的经营范围包含哪些？,一般项目：建筑材料销售；非金属废料和碎屑加工处理；建筑装饰材料销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；资源再生利用技术研发；再生资源回收（除生产性废旧金属）；再生资源加工；生产性废旧金属回收；货物进出口；技术进出口。
茂名市老男人网络科技有限公司的注册资本？,100万人民币
广东衡途工程技术咨询有限公司的法定代表人是谁？,黎婉婷
茂名卓藤装修有限公司的注册地址？,茂名市电白区电城镇工贸小区P区7号
茂名滨海新区林亿鑫装修有限公司的统一社会信用代码？,91440900MACN6XL570
茂名滨海新区亲宝儿托管服务有限公司的经营范围？,中小学生校外托管服务。
广东茂名清俪生物新材料有限公司的注册资本是多少？,500万人民币
茂名泉顺管理咨询服务中心（有限合伙）的成立日期？,2023/6/20
茂名新通建材贸易有限公司的法定代表人是谁？,杨忠新
滨海新区楿味缘食品有限公司的注册地址？,茂名市电白区博贺镇尖岗尖南村78号
茂名市张华南建筑材料有限公司的经营范围？,一般项目：建筑材料销售；消防器材销售；灯具销售；机械电气设备销售；消防技术服务。许可项目：建设工程施工；建设工程设计；安全技术防范系统设计施工服务；道路货物运输（不含危险货物）。
茂名高新技术产业开发区黄多渔水族馆的状态是注销吗？,是，状态为注销。
茂名市海迅水产养殖有限公司的法定代表人是谁？,蔡宇僖
信宜市喜闻企业管理中心（有限合伙）的注册资本？,10万人民币
茂名市聚盈鑫财税咨询有限公司的经营范围？,一般项目：税务服务；教育咨询服务（不含涉许可审批的教育培训活动）；招生辅助服务；信息咨询服务（不含许可类信息咨询服务）；企业管理咨询；市场主体登记注册代理；科技中介服务；社会经济咨询服务。许可项目：代理记账。
茂名市泷烨潘记水产品有限公司的注册地址？,茂名市电白区博贺镇明珠码头R1号
茂名市金钊建材加工场的类型是什么？,个人独资企业
茂名中创汇新能源设备有限公司的法定代表人是谁？,陈月婷
茂名滨海新区博贺渔港海洋产业有限公司的注册资本？,500万人民币
广东新权兴人力资源有限公司的经营范围包含职业中介活动吗？,是，包含职业中介活动（许可项目）。
茂名市诚派医疗器械有限公司的注册地址？,茂名市高新技术产业开发区茂名大道1号海景明珠财富广场1号14楼
茂名市世纪水产养殖有限公司的法定代表人是谁？,杨日荣
茂名启盛科技有限公司的经营范围非常广泛，请列举部分？,一般项目包含：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备零售；网络设备销售；软件开发；信息技术咨询服务；电子产品销售；机械设备研发；信息系统集成服务；人工智能硬件销售；人工智能基础软件开发；人工智能应用软件开发；数字视频监控系统制造；电动自行车销售；建筑材料销售；办公设备销售；五金产品零售；新能源汽车整车销售；充电桩销售等。
茂名滨海新区驰博充电科技有限公司的注册资本？,20万人民币
律邦律师（茂名）有限公司的法定代表人是谁？,杨文清
茂名市滨海新区翠生缘珠宝首饰商行的行业分类？,文教、工美、体育和娱乐用品制造业
茂名高新技术产业开发区隆优汇物业租赁服务部的经营状态？,存续
三加壹传媒（茂名市）有限公司的成立日期？,2023/7/7
茂名高新技术产业开发区盛达隆兴砂石场的注册地址？,茂名高新技术产业开发区七迳镇木等龙古冲村61号01号铺
茂名邦盈广告有限公司的法定代表人是谁？,梁盈文
茂名市超建建筑有限公司的注册资本是多少？,50万人民币
广东达正建材有限公司的注册地址？,茂名高新技术产业开发区七迳镇南山冲南山村38号01号铺
茂名市腾益汽车销售有限公司的法定代表人是谁？,谢振平
太鲜汇（茂名滨海新区）农业有限公司的经营范围？,一般项目：食用农产品批发；初级农产品收购；食用农产品初加工；互联网销售（除销售需要许可的商品）；水产品批发；农副产品销售；新鲜水果批发；水果种植；食品互联网销售（仅销售预包装食品）；保健食品（预包装）销售；包装服务；供应链管理服务；普通货物仓储服务（不含危险化学品等需许可审批的项目）。许可项目：食品互联网销售；食品销售；渔业捕捞；水产养殖；酒类经营；烟草制品零售。
茂名市文亿汽车销售有限公司的注册资本？,100万人民币
茂名市宁慈养老服务有限公司的法定代表人是谁？,张慧宁
茂名滨海新区正雅堂药店的注册地址？,茂名市电白区电城镇海景明珠新城7一8一9栋首层6号房屋之一
茂名市金蚁贸易有限公司的经营范围包含家用电器制造吗？,是，包含家用电器制造。
茂名市高水路汽车贸易有限公司的法定代表人是谁？,苏庆忠
广东省茂名乐淇源农业生物科技有限公司的注册资本？,1000万人民币
茂名市南洋渔港食品有限公司的成立日期？,2023/7/16
广东善邦文化产业投资合伙企业（有限合伙）的类型？,有限合伙企业
广东粤电技术工程管理有限公司茂名分公司的法定代表人是谁？,黄超
茂名市伟建达建筑劳务有限公司的注册地址？,茂名市高新技术产业开发区七迳镇山岚西冲村19-2号二楼
茂名市仨渔夫文化传媒有限公司的经营范围？,许可项目：广播电视节目制作经营。一般项目：业务培训（不含教育培训、职业技能培训等需取得许可的培训）；农副产品销售；初级农产品收购；互联网销售（除销售需要许可的商品）；食用农产品批发；食用农产品初加工；食用农产品零售。
沙院国际生态旅游度假区（广东省）有限公司的注册资本？,20000万人民币
茂名滨海新区守顺水产品有限公司的状态是注销吗？,是，状态为注销。
广东省粤茂贰号农业股权投资基金合伙企业（有限合伙）的注册资本？,12000万人民币
华屹晟（广东）农业发展有限公司的法定代表人是谁？,杨子聪
茂名市华宸贸易有限公司的注册地址？,茂名高新技术产业开发区市民大道89号大院36号2201房
广东衡盛科技有限公司的经营范围包含软件开发吗？,是，包含软件开发。
绫致时装（天津）有限公司化州一分公司的成立日期？,2023/8/1
茂名市臻阳塑胶有限公司的法定代表人是谁？,冯锡燕
茂名滨海新区旺发车行的类型？,个人独资企业
茂名大参林连锁药店有限公司电城珠城分店的负责人是谁？,廖雪香
茂名市牛尊二手车有限公司的注册资本？,200万人民币
清禾苑（茂名）住房租赁有限公司的法定代表人是谁？,陈俊才
优言信达（茂名市）信息咨询有限合伙企业（有限合伙）的注册地址？,茂名市茂南区石鳌塘后坡村75号106房
茂名永禾供应链有限公司的经营范围？,一般项目：供应链管理服务；食品销售（仅销售预包装食品）；办公设备销售；农副产品销售；食用农产品批发；厨具卫具及日用杂品批发；卫生洁具销售；日用百货销售；日用品销售；文具用品批发；计算机软硬件及辅助设备批发；钟表销售；劳动保护用品销售；水产品批发；五金产品批发；第二类医疗器械销售；家用电器销售；服装服饰批发；服装服饰零售；低温仓储（不含危险化学品等需许可审批的项目）；新鲜水果零售；新鲜水果批发；新鲜蔬菜零售；新鲜蔬菜批发；鲜蛋零售；鲜蛋批发；鲜肉零售；鲜肉批发；豆及薯类销售；未经加工的坚果、干果销售；谷物销售；办公用品销售；家用电器安装服务；消毒剂销售（不含危险化学品）。许可项目：城市配送运输服务（不含危险货物）；食品销售；药品批发；烟草制品零售；酒类经营。
茂名市三多翡翠珠宝有限公司的法定代表人是谁？,蔡天凯
广东中润盛九州建设工程有限公司的注册地址？,茂名市电白区电城镇博贺港工业区茂名恒大钢铁有限公司办公楼106室
高州华润燃气有限公司滨海新区分公司的法定代表人是谁？,赵云龙
茂名市颂迈电子商务有限公司的注册资本？,10万人民币
茂名永承食品配送有限公司的经营范围包含道路货物运输吗？,是，包含道路货物运输（不含危险货物）。
信行（茂名）企业管理合伙企业（有限合伙）的注册资本？,1000万人民币
茂名市轩腾商贸有限公司的法定代表人是谁？,李吕华
茂名和成文旅有限公司的注册地址？,茂名市电白区电城镇东门头珠城区P19号之二
茂名滨海新区正德贸易有限公司的经营范围？,一般项目：日用百货销售；日用品销售；日用品批发；食品销售（仅销售预包装食品）；食品用洗涤剂销售；食品添加剂销售；保健食品（预包装）销售；食品互联网销售（仅销售预包装食品）；装卸搬运；普通货物仓储服务（不含危险化学品等需许可审批的项目）；会议及展览服务。许可项目：食品销售；城市配送运输服务（不含危险货物）；酒类经营；烟草制品零售；小食杂；食品互联网销售。
广东茂交港工程有限公司的法定代表人是谁？,刘平
嫒幂企业管理（化州）合伙企业（有限合伙）的注册地址？,化州市鉴江区桔城中路173号耀明广场一期1号楼一层102号
采购三重四级杆气相色谱质谱联用仪的项目预算金额是多少？,1485100元
数字倒置荧光显微镜项目的采购单位是哪家医院？,上海交通大学医学院附属上海儿童医学中心
手术显微镜（含自筹）项目的招标编号是什么？,310000000240903126352-00148517
上海市老年医学中心开办项目中，包1的预算是多少？,1000000.00元
罗泾社区卫生服务中心X射线计算机体层摄影（CT）设备采购项目的代理机构联系人是谁？,罗方成
皮秒激光仪项目的特定资格要求中，对代理商有什么证件要求？,必须提供有效期内的医疗器械经营许可证或备案证明（若为三类提供经营许可证，若为需备案的二类提供备案证明）。
生物分子相互作用分析系统项目是否接受联合体投标？,不接受。
高级成像与表面形貌分析用多功能共聚焦显微镜的采购预算为多少？,2000000元
沉积物粒度组成和年代测试项目的发布日期是哪天？,2024-10-18和2024-09-20
浦东新区南汇新城镇社区卫生服务中心CT机项目是否专门面向中小企业？,是，本项目面向中小企业采购。
颗粒纳米生物检测仪项目的代理机构名称是什么？,上海东松医疗科技股份有限公司
高端便携式彩色多普勒超声诊断仪项目的预算金额是多少？,1000000元
细胞器精准提取分析系统项目的发布日期是哪天？,2024/10/18、2024-09-12
上海交通大学医学院动物手术实验室设备等采购项目的项目编号是多少？,310000000240801119009-00140195
中国福利会国际和平妇幼保健院2024年医疗设备（四）项目包含哪些设备？,包含高清腹腔镜系统、中央监护系统4、音视频转播及控制设备。
层析成像扫描仪配件升级项目的中标金额是多少？,3857659元
350兆PDT系统建设项目的采购单位是哪个中心？,区城市网格化综合管理中心（区行政服务中心）
公卫中心开办设备第一批项目中，包2的预算金额是多少？,1200000.00元
高精度地图创新应用保障技术性支撑和地图成果技术审查项目的预算金额是多少？,1600000元
触控一体机更新项目（二）是否专门面向中小企业？,否，本项目为非专门面向中小企业采购项目。
上海健康医学院附属崇明医院医疗设备采购（全自动数字化高档彩色多普勒超声仪）项目的联系人是谁？,沙丽萍
2024年青浦区卫健委医疗设备采购项目三（2）的采购预算是多少？,1250500元
设备-彩色超声诊断仪项目的特定资格要求中，对经营企业有什么要求？,如果投标人是投标产品经营企业，应提供《第二类医疗器械经营备案凭证》（若二类医疗器械经营备案和三类医疗器械经营许可两证合一，则只需提供《医疗器械经营许可证》）。
直线加速器（第二次）项目的预算金额是多少？,22000000元
嘉定卫生信息服务采购项目的项目编号是什么？,310114000240813121636-14156010
上海市中医医院嘉定院区设备物资开办（超声引导激光消融治疗系统）项目的联系人电话是多少？,021-56639828-62237
多功能全自动蛋白质表达定量分析系统项目的特定资格要求中，对代理商有什么特殊要求？,代理商投标应提供投标产品的制造商针对本项目的唯一授权。
流式细胞分析/分选仪项目的预算金额是多少？,1100000元
超声外科吸引系统的采购单位是哪家医院？,上海市第四人民医院
一体式大平板C型臂项目的招标代理机构联系方式是多少？,25015254
外科腹腔镜超声项目是否专门面向中小企业？,是，根据预算安排，本项目仅面向中小企业采购。
3.0T核磁共振项目的预算金额是多少？,15000000元
月浦镇农村房地一体宅基地确权登记项目的特定资格要求中，对资质有什么要求？,须具有政府行政主管部门颁发的有效期内的测绘乙级及以上测绘资质，且专业范围包含工程测量、界线与不动产测绘。
第七人民医院钬激光治疗机项目的项目编号是什么？,310115000240923130985-15154223
辐射抗扰度测试系统项目的预算金额是多少？,1852600元
特种光纤化学气相沉积材料生长系统项目的采购单位是哪所大学？,上海大学
高档彩色多普勒超声诊断仪项目的特定资格要求中，对注册证有什么要求？,需要提供有效期内的《中华人民共和国医疗器械注册证》。
